Orpha_code	Orphanet_disorder	ICD_10	Relationship
251287	Benign concentric annular macular dystrophy	H35.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251282	Autosomal dominant spastic ataxia type 1	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251279	Microphthalmia-retinitis pigmentosa-foveoschisis-optic disc drusen syndrome	Q15.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251274	Familial hyperaldosteronism type III	E26.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251262	Familial osteochondritis dissecans	M93.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2291	Congenital velopharyngeal incompetence	J39.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251347	Ataxia-telangiectasia-like disorder	G11.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251332	Unexplained long-lasting fever/inflammatory syndrome	R65.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251328	Unclassified vasculitis	I77.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2289	Neuronal intranuclear inclusion disease	G31.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251325	Drug-induced vasculitis	M31.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2290	Microvillus inclusion disease	P78.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2287	Fused mandibular incisors	K00.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251312	Overlapping connective tissue disease	M35.1	E (Exact mapping: the two concepts are equivalent)
2285	Primary basilar invagination	Q75.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251307	Idiopathic recurrent pericarditis	I09.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
251304	Infantile onset panniculitis with uveitis and systemic granulomatosis	M08.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2674	Cyprus facial-neuromusculoskeletal syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2673	Neurofaciodigitorenal syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2672	Neuhauser-Eichner-Opitz syndrome	G11.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254857	Lethal infantile mitochondrial myopathy	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2678	Neurofibromatosis type 6	L81.3	E (Exact mapping: the two concepts are equivalent)
254864	Mitochondrial myopathy with reversible cytochrome C oxidase deficiency	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254851	Mitochondrial DNA-related dystonia	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254854	Pure mitochondrial myopathy	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2668	Nephropathy-deafness-hyperparathyroidism syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2663	Nathalie syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2662	Keipert syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254803	Mitochondrial DNA depletion syndrome, encephalomyopathic form	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2671	Neu-Laxova syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
1475	Renal coloboma syndrome	Q60.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2670	Pierson syndrome	Q13.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2669	Nephrosis-deafness-urinary tract-digital malformations syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254930	Combined oxidative phosphorylation defect type 7	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254925	Combined oxidative phosphorylation defect type 4	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2697	Arthrogryposis-renal dysfunction-cholestasis syndrome	Q89.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254920	Combined oxidative phosphorylation defect type 2	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2695	Bifid nose	Q30.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254913	Isolated ATP synthase deficiency	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255182	Pyruvate dehydrogenase E3-binding protein deficiency	E74.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2701	Noonan syndrome-like disorder with loose anagen hair	Q87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255138	Pyruvate dehydrogenase E1-beta deficiency	E74.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255132	Adult-onset autosomal recessive sideroblastic anemia	D64.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2698	Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2699	Median nodule of the upper lip	Q18.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254886	Autosomal recessive progressive external ophthalmoplegia	H49.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254881	Spinocerebellar ataxia with epilepsy	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254875	Mitochondrial DNA depletion syndrome, myopathic form	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254871	Mitochondrial DNA depletion syndrome, hepatocerebral form	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254905	Isolated cytochrome C oxidase deficiency	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254902	Renal tubulopathy-encephalopathy-liver failure syndrome	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2690	Neutropenia-monocytopenia-deafness syndrome	D82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254898	Deafness-encephaloneuropathy-obesity-valvulopathy syndrome	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254892	Autosomal dominant progressive external ophthalmoplegia	H49.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2712	Oculofaciocardiodental syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2714	Oculo-palato-cerebral syndrome	Q87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2713	Oculoosteocutaneous syndrome	Q87.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2717	Oculotrichoanal syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2704	Ochoa syndrome	N31.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255210	Mitochondrial DNA-associated Leigh syndrome	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255229	Navajo neurohepatopathy	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2707	Oculocerebrofacial syndrome, Kaufman type	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255235	Mitochondrial DNA depletion syndrome, encephalomyopathic form with renal tubulopathy	G31.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2710	Oculodentodigital dysplasia	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255241	Leigh syndrome with leukodystrophy	G31.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2709	Oculodental syndrome, Rutherfurd type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
255249	Leigh syndrome with nephrotic syndrome	G31.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2728	Blepharophimosis-intellectual disability syndrome, Ohdo type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2730	Postaxial tetramelic oligodactyly	Q73.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2732	Olivopontocerebellar atrophy-deafness syndrome	Q04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2733	Omodysplasia	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2719	Oculocerebral hypopigmentation syndrome, Cross type	E70.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2721	Odonto-onycho-dermal dysplasia	Q82.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
260305	Autosomal recessive sideroblastic anemia	D64.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2755	Orofaciodigital syndrome type 8	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2754	Orofaciodigital syndrome type 6	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252164	Benign schwannoma	D36.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2753	Orofaciodigital syndrome type 4	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2752	Orofaciodigital syndrome type 3	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2751	Orofaciodigital syndrome type 2	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252128	Malignant peripheral nerve sheath tumor with perineurial differentiation	C47.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2750	Orofaciodigital syndrome type 1	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252050	Primary melanoma of the central nervous system	C70.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252054	Hemangioblastoma	D33.4	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
252054	Hemangioblastoma	D33.7	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
2741	Ophthalmomandibulomelic dysplasia	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252031	Diffuse leptomeningeal melanocytosis	C70.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252046	Meningeal melanocytoma	D32.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252018	Teratoma of the central nervous system	D48.7	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
661	Ondine syndrome	G47.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2736	Lethal omphalocele-cleft palate syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252021	Mixed germ cell tumor of central nervous system	C72.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254367	Rare lichen planus	L43.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
254367	Rare lichen planus	L43.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
254367	Rare lichen planus	L66.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
254367	Rare lichen planus	L43.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
254367	Rare lichen planus	L43.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
254367	Rare lichen planus	L43.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
254367	Rare lichen planus	L43.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
2777	Osteomesopyknosis	Q78.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254361	Plectin-related  limb-girdle muscular dystrophy R17	G71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254351	Distal 7q11.23 microdeletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254346	19p13.12 microdeletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2770	Nasu-Hakola disease	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254343	Autosomal recessive spastic ataxia-optic atrophy-dysarthria syndrome	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2767	Carpotarsal osteochondromatosis	D16.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254334	Autosomal recessive intermediate Charcot-Marie-Tooth disease type B	G60.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2768	Blount disease	M92.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2762	Progressive osseous heteroplasia	M61.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252212	Malignant triton tumor	C47.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2763	Osteocraniostenosis	Q78.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252206	Melanoma and neural system tumor syndrome	D43	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252202	Constitutional mismatch repair deficiency syndrome	D80.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2760	OSLAM syndrome	C41.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252183	Neurofibroma	D36.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
252175	Vestibular schwannoma	D33.3	E (Exact mapping: the two concepts are equivalent)
2793	Otoonychoperoneal syndrome	Q87.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2792	Otofaciocervical syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254525	Temple syndrome due to paternal 14q32.2 microdeletion	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2798	Pachygyria-intellectual disability-epilepsy syndrome	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2796	Pachydermoperiostosis	M89.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254528	Kagami-Ogata syndrome due to maternal 14q32.2 microdeletion	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254478	Lichen planus pemphigoides	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2789	Lateral meningocele syndrome	Q87.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2788	Osteoporosis-pseudoglioma syndrome	Q87.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254492	Frontal fibrosing alopecia	L66.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2791	Otodental syndrome	K00.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254504	Inhalational botulism	A05.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2790	Endosteal hyperostosis, Worth type	Q78.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254509	Iatrogenic botulism	A05.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254411	Annular atrophic lichen planus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
1306	Buschke-Ollendorff syndrome	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254424	Annular lichen planus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2783	Autosomal dominant osteopetrosis type 1	Q78.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254449	Atrophic lichen planus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254463	Lichen planus pigmentosus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254370	Rare cutaneous lichen planus	L43.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254370	Rare cutaneous lichen planus	L43.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254370	Rare cutaneous lichen planus	L43.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254370	Rare cutaneous lichen planus	L43.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254370	Rare cutaneous lichen planus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254370	Rare cutaneous lichen planus	L43.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254370	Rare cutaneous lichen planus	L66.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2780	Osteopathia striata-cranial sclerosis syndrome	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254373	Rare mucosal lichen planus	L43.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254373	Rare mucosal lichen planus	L43.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254373	Rare mucosal lichen planus	L43.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254373	Rare mucosal lichen planus	L43.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254373	Rare mucosal lichen planus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254373	Rare mucosal lichen planus	L43.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2779	Osteopathia striata-pigmentary dermopathy-white forelock syndrome	Q77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254379	Linear lichen planus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254395	Actinic lichen planus	L43.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
667	Autosomal recessive malignant osteopetrosis	Q78.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2815	Spastic paraparesis-deafness syndrome	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254788	Mitochondrial DNA-related mitochondrial myopathy	G71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2818	Spastic paraplegia-glaucoma-intellectual disability syndrome	G11.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2808	Laryngeal abductor paralysis	J38.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2809	Familial recurrent peripheral facial palsy	G51.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254749	Tricarboxylic acid cycle disorder	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2812	Parana hard skin syndrome	L91.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254746	Pyruvate metabolism disorder	E74.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2805	Partial pancreatic agenesis	Q45.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254698	Epithelioid trophoblastic tumor	D39.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254693	Partial hydatidiform mole	O01.1	E (Exact mapping: the two concepts are equivalent)
675	Annular pancreas	Q45.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2807	Papilloma of choroid plexus	D33.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
678	Papillon-Lefèvre syndrome	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254704	Genetic hyperferritinemia without iron overload	R77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254534	Kagami-Ogata syndrome due to maternal 14q32.2 hypermethylation	Q99.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2802	X-linked sideroblastic anemia and spinocerebellar ataxia	D64.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
254688	Complete hydatidiform mole	O01.0	E (Exact mapping: the two concepts are equivalent)
2804	W syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2491	Müllerian duct anomalies-limb anomalies syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2492	FATCO syndrome	Q87.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2498	Syndactyly type 8	Q70.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2499	Metachondromatosis	Q78.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2496	Mesomelia-synostoses syndrome	Q74.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2497	Upper limb mesomelic dysplasia	Q78.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2502	Metaphyseal dysostosis-intellectual disability-conductive deafness syndrome	Q78.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2500	Acrogeria	L90.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2501	Metaphyseal chondrodysplasia, Spahr type	Q78.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2504	Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome	Q77.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2505	Multiple benign circumferential skin creases on limbs	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2511	Microbrachycephaly-ptosis-cleft lip syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261766	Partial deletion of chromosome 1	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2510	Micro syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2508	Corpus callosum agenesis-abnormal genitalia syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2516	Microcephaly-cardiac defect-lung malsegmentation syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2515	Microcephaly-cardiomyopathy syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261771	Partial deletion of chromosome 2	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2514	Autosomal dominant primary microcephaly	Q02	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261776	Partial deletion of chromosome 3	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2513	Microcephaly-albinism-digital anomalies syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261801	Partial deletion of chromosome 8	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2521	Microcephaly-cleft palate-abnormal retinal pigmentation syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261806	Partial deletion of chromosome 9	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261791	Partial deletion of chromosome 6	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2518	Autosomal recessive chorioretinopathy-microcephaly syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261796	Partial deletion of chromosome 7	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261821	Partial deletion of the long arm of chromosome 12	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2524	Pontocerebellar hypoplasia type 2	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261826	Partial deletion of chromosome 16	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261811	Partial deletion of chromosome 10	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2523	Microcephaly-brain defect-spasticity-hypernatremia syndrome	G98	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261816	Partial deletion of chromosome 11	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2522	Microcephaly-cervical spine fusion anomalies syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261836	Partial deletion of chromosome 18	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2526	Microcephaly-lymphedema-chorioretinopathy syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261831	Partial deletion of chromosome 17	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261846	Partial deletion of chromosome 20	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2528	Microcephaly-microcornea syndrome, Seemanova type	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261841	Partial deletion of chromosome 19	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261866	Partial deletion of the short arm of chromosome 2	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261857	Partial deletion of the short arm of chromosome 1	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261884	Partial deletion of the short arm of chromosome 4	Q93.3	E (Exact mapping: the two concepts are equivalent)
2533	Microcephaly-deafness-intellectual disability syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261875	Partial deletion of the short arm of chromosome 3	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261902	Partial deletion of the short arm of chromosome 6	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2536	Microcornea-glaucoma-absent frontal sinuses syndrome	Q15.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261893	Partial deletion of the short arm of chromosome 5	Q93.4	E (Exact mapping: the two concepts are equivalent)
261920	Partial deletion of the short arm of chromosome 8	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261911	Partial deletion of the short arm of chromosome 7	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261938	Partial deletion of the short arm of chromosome 10	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261929	Partial deletion of the short arm of chromosome 9	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261956	Partial deletion of the short arm of chromosome 16	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261947	Partial deletion of the short arm of chromosome 11	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261965	Partial monosomy of the short arm of chromosome 17	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2549	Oculoauriculovertebral spectrum with radial defects	Q75.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261974	Partial deletion of the short arm of chromosome 18	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261983	Partial deletion of the short arm of chromosome 19	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2551	Microspherophakia-metaphyseal dysplasia syndrome	Q87.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
261992	Partial monosomy of the short arm of chromosome 20	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262001	Partial deletion of the long arm of chromosome 1	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2554	Ear-patella-short stature syndrome	Q87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262010	Partial deletion of the long arm of chromosome 2	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262019	Partial deletion of the long arm of chromosome 3	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2556	Microphthalmia with linear skin defects syndrome	Q11.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262029	Partial deletion of the long arm of chromosome 4	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262038	Partial deletion of the long arm of chromosome 5	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2558	Mikati-Najjar-Sahli syndrome	E22.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262047	Partial deletion of the long arm of chromosome 6	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2557	Mietens syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2561	Pyramidal molars-abnormal upper lip syndrome	K00.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262056	Partial deletion of the long arm of chromosome 7	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262065	Partial deletion of the long arm of chromosome 8	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2560	Moebius syndrome-axonal neuropathy-hypogonadotropic hypogonadism syndrome	E23.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2564	Tetramelic monodactyly	Q73.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262074	Partial monosomy of the long arm of chromosome 9	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262083	Partial monosomy of the long arm of chromosome 10	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2563	MOMO syndrome	Q87.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262092	Partial deletion of the long arm of chromosome 11	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
262101	Partial deletion of the long arm of chromosome 13	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2565	Mononen-Karnes-Senac syndrome	Q87.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
2574	Moynahan syndrome	G40.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
