,Orpha_code,Orphanet_disorder,ICD_10,Relationship,Description,Genes,Orpha Code,ICD-11 code
823,795,Rare form of salmonellosis,A02.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
824,171889,Myopathy with hexagonally cross-linked tubular arrays,G71.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
825,797,Sarcoidosis,D86.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
826,797,Sarcoidosis,D86.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
827,797,Sarcoidosis,D86.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
828,797,Sarcoidosis,D86.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
829,797,Sarcoidosis,D86.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
830,797,Sarcoidosis,D86.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
831,171886,Cylindrical spirals myopathy,G71.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
832,92,Juvenile idiopathic arthritis,M08.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
833,92,Juvenile idiopathic arthritis,M08.4,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
834,92,Juvenile idiopathic arthritis,M08.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
835,92,Juvenile idiopathic arthritis,M08.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
836,92,Juvenile idiopathic arthritis,M08.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
837,92,Juvenile idiopathic arthritis,M08.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
838,92,Juvenile idiopathic arthritis,M08.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
839,171829,6q16 microdeletion syndrome,Q93.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
840,1201,Atresia of small intestine,Q41.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
841,1201,Atresia of small intestine,Q41.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
842,1201,Atresia of small intestine,Q41.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
843,1201,Atresia of small intestine,Q41.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
844,1201,Atresia of small intestine,Q41.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
845,171839,Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
846,1202,Larynx atresia,Q31.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
847,1199,Esophageal atresia,Q39.0,E (Exact mapping: the two concepts are equivalent),,,,
848,1199,Esophageal atresia,Q39.1,E (Exact mapping: the two concepts are equivalent),,,,
849,171848,Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome,G60.1,ND (not yet decided/unable to decide),,,,
850,1304,Brucellosis,A23.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
851,1304,Brucellosis,A23.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
852,1304,Brucellosis,A23.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
853,1304,Brucellosis,A23.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
854,1304,Brucellosis,A23.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
855,1304,Brucellosis,A23.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
856,173,Cholera,A00.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
857,173,Cholera,A00.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
858,173,Cholera,A00.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
859,1428,Familial chondromalacia patellae,M22.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
860,3303,Tetralogy of Fallot,Q21.3,E (Exact mapping: the two concepts are equivalent),,,,
861,200418,Immunodeficiency with factor I anomaly,D84.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
862,730,Autosomal dominant polycystic kidney disease,Q61.2,E (Exact mapping: the two concepts are equivalent),,,,
863,200421,Immunodeficiency with factor H anomaly,D84.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
864,486,Autosomal dominant severe congenital neutropenia,D70,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
865,1209,Tricuspid atresia,Q22.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
866,199647,Isolated encephalocele,Q01.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
867,199647,Isolated encephalocele,Q01.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
868,199647,Isolated encephalocele,Q01.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
869,199647,Isolated encephalocele,Q01.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
870,199647,Isolated encephalocele,Q01.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
871,98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,G11.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
872,1478,Interatrial communication,Q21.1,E (Exact mapping: the two concepts are equivalent),,,,
873,330,Congenital factor XII deficiency,D68.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
874,1482,Gonococcal conjunctivitis,A54.3+,E (Exact mapping: the two concepts are equivalent),,,,
875,1482,Gonococcal conjunctivitis,H13.1*,E (Exact mapping: the two concepts are equivalent),,,,
876,1959,Evans syndrome,D69.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
877,284,Alveolar echinococcosis,B67.6,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
878,284,Alveolar echinococcosis,B67.7,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
879,284,Alveolar echinococcosis,B67.5,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
880,1177,Early-onset cerebellar ataxia with retained tendon reflexes,G11.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
881,828,Stickler syndrome,Q87.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
882,1431,Paroxysmal dyskinesia,G24.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
883,293,Congenital herpes simplex virus infection,P35.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
884,199340,"Muscular dystrophy, Selcen type",G71.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
885,199337,Pancreatic insufficiency-anemia-hyperostosis syndrome,E88.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
886,234,Dubin-Johnson syndrome,E80.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
887,199348,Thiamine-responsive encephalopathy,E51.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
888,3287,Takayasu arteritis,M31.4,E (Exact mapping: the two concepts are equivalent),,,,
889,199343,EAST syndrome,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
890,2800,Extramammary Paget disease,C44.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
891,199326,"Isolated autosomal dominant hypomagnesemia, Glaudemans type",E83.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
892,199323,Endophthalmitis,H44.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
893,199323,Endophthalmitis,H44.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
894,1928,Congenital lobar emphysema,Q33.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
895,199332,Endocrine-cerebro-osteodysplasia syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
896,199329,"Congenital myopathy, Paradas type",G71.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
897,2665,Congenital mesoblastic nephroma,D41.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
898,3463,Wolfram syndrome,E34.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
899,1549,NON RARE IN EUROPE: Cryptosporidiosis,A07.2,E (Exact mapping: the two concepts are equivalent),,,,
900,199642,Isolated congenital microcephaly,Q02,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
901,549,Legionnaires disease,A48.1,E (Exact mapping: the two concepts are equivalent),,,,
902,704,Pemphigus vulgaris,L10.0,E (Exact mapping: the two concepts are equivalent),,,,
903,199354,Cerebral autosomal recessive arteriopathy-subcortical infarcts-leukoencephalopathy,I67.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
904,199351,Adult-onset dystonia-parkinsonism,G24.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
905,356,Gerstmann-Straussler-Scheinker syndrome,A81.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
906,466,Fatal familial insomnia,A81.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
907,199630,Isolated cerebellar vermis hypoplasia,Q04.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
908,199627,Atypical autism,F84.1,E (Exact mapping: the two concepts are equivalent),,,,
909,199293,Congenital microgastria,Q40.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
910,3452,Whipple disease,M14.8*,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
911,3452,Whipple disease,K90.8+,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
912,199282,Harlequin syndrome,G90.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
913,199285,Hereditary hypercarotenemia and vitamin A deficiency,E50.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
914,2331,Kawasaki disease,M30.3,E (Exact mapping: the two concepts are equivalent),,,,
915,199276,Familial multiple lipomatosis,E88.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
916,2102,GTP cyclohydrolase I deficiency,E70.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
917,199279,Familial angiolipomatosis,D17.9,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
918,199260,Calcifying aponeurotic fibroma,M72.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
919,3002,Immune thrombocytopenia,D69.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
920,199267,Infantile digital fibromatosis,M72.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
921,199315,Familial clubfoot with or without associated lower limb anomalies,Q66.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
922,2040,Congenital respiratory-biliary fistula,Q32.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
923,199318,15q13.3 microdeletion syndrome,Q93.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
924,199310,Tetragametic chimerism,Q99.0,E (Exact mapping: the two concepts are equivalent),,,,
925,2357,Bronchogenic cyst,J98.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
926,274,Bernard-Soulier syndrome,D69.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
927,1195,Congenital atransferrinemia,E88.0,E (Exact mapping: the two concepts are equivalent),,,,
928,199302,Isolated cleft lip,Q36.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
929,199302,Isolated cleft lip,Q36.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
930,199302,Isolated cleft lip,Q36.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
931,199306,Cleft lip/palate,Q37.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
932,199306,Cleft lip/palate,Q37.4,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
933,199306,Cleft lip/palate,Q37.5,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
934,199306,Cleft lip/palate,Q37.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
935,199306,Cleft lip/palate,Q37.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
936,199306,Cleft lip/palate,Q37.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
937,199306,Cleft lip/palate,Q37.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
938,199306,Cleft lip/palate,Q37.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
939,926,Acatalasemia,E80.3,E (Exact mapping: the two concepts are equivalent),,,,
940,3020,Ramsay Hunt syndrome,B02.2+,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
941,3020,Ramsay Hunt syndrome,G53.0*,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
942,199296,Congenital isolated ACTH deficiency,E23.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
943,1531,Craniosynostosis,Q75.0,E (Exact mapping: the two concepts are equivalent),,,,
944,199299,Late-onset isolated ACTH deficiency,E23.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
945,1675,Dihydropyrimidine dehydrogenase deficiency,E79.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
946,189427,Cushing syndrome due to macronodular adrenal hyperplasia,E24.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
947,976,Adenine phosphoribosyltransferase deficiency,E79.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
948,3129,Sarcosinemia,E72.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
949,415,Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome,E72.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
950,13,6-pyruvoyl-tetrahydropterin synthase deficiency,E70.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
951,199257,Superficial fibromatosis,M72.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
952,2494,Ménétrier disease,K29.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
953,171,Primary sclerosing cholangitis,K83.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
954,199251,Ledderhose disease,M72.2,E (Exact mapping: the two concepts are equivalent),,,,
955,199247,Corticosteroid-binding globulin deficiency,E27.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
956,199244,Nelson syndrome,E24.1,E (Exact mapping: the two concepts are equivalent),,,,
957,199241,Pulmonary capillary hemangiomatosis,D18.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
958,2134,Atypical hemolytic uremic syndrome,D59.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
959,189466,Familial isolated hypoparathyroidism due to impaired PTH secretion,E20.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
960,17,Fatal infantile lactic acidosis with methylmalonic aciduria,E71.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
961,189439,Primary pigmented nodular adrenocortical disease,E24.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
962,3006,Pyridoxine-dependent epilepsy,G40.8,E (Exact mapping: the two concepts are equivalent),,,,
963,780,Rhabdomyosarcoma,C49.9,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
964,3111,Rotor syndrome,E80.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
965,2382,Lennox-Gastaut syndrome,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
966,2806,Subacute sclerosing leukoencephalitis,A81.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
967,2467,Systemic mastocytosis,C96.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
968,1934,Early infantile epileptic encephalopathy,G40.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
969,845,Tay-Sachs disease,E75.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
970,1942,Myoclonic-astatic epilepsy,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
971,1935,Early myoclonic encephalopathy,G40.4,E (Exact mapping: the two concepts are equivalent),,,,
972,1943,Early-onset progressive encephalopathy with migrant continuous myoclonus,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
973,3451,Infantile spasms syndrome,G40.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
974,3299,Tetanus,A33,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
975,3299,Tetanus,A34,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
976,3299,Tetanus,A35,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
977,2302,Asbestos intoxication,J61,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
978,770,Rabies,A82.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
979,770,Rabies,A82.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
980,770,Rabies,A82.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
981,3386,American trypanosomiasis,B57.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
982,3386,American trypanosomiasis,B57.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
983,3386,American trypanosomiasis,B57.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
984,3386,American trypanosomiasis,B57.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
985,3386,American trypanosomiasis,B57.4,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
986,3386,American trypanosomiasis,B57.5,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
987,267,Calpain-3-related  limb-girdle muscular dystrophy R1,G71.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
988,1329,Complete atrioventricular septal defect,Q21.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
989,582,Mucopolysaccharidosis type 4,E76.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
990,2137,Autoimmune hepatitis,K75.4,E (Exact mapping: the two concepts are equivalent),,,,
991,186,Primary biliary cholangitis,K74.3,E (Exact mapping: the two concepts are equivalent),,,,
992,1136,Arnold-Chiari malformation type II,Q07.0,E (Exact mapping: the two concepts are equivalent),,,,
993,397,Giant cell arteritis,M31.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
994,2932,Chronic inflammatory demyelinating polyneuropathy,G61.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
995,2398,Multiple symmetric lipomatosis,E88.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
996,1656,Dermatitis herpetiformis,L13.0,E (Exact mapping: the two concepts are equivalent),,,,
997,850,May-Hegglin thrombocytopenia,D72.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
998,3198,Stiff person spectrum disorder,G25.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
999,2929,Juvenile polyposis syndrome,D12.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1000,131,Budd-Chiari syndrome,I82.0,E (Exact mapping: the two concepts are equivalent),,,,
1001,646,Niemann-Pick disease type C,E75.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1002,654,Nephroblastoma,C64,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1003,1489,Whooping cough,A37.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1004,1489,Whooping cough,A37.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1005,1489,Whooping cough,A37.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1006,1489,Whooping cough,A37.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1007,2764,Osteochondritis dissecans,M93.2,E (Exact mapping: the two concepts are equivalent),,,,
1008,2587,Myeloperoxidase deficiency,E80.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1009,3389,Tuberculosis,A17,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1010,3389,Tuberculosis,A16,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1011,3389,Tuberculosis,A18,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1012,3389,Tuberculosis,A19,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1013,3389,Tuberculosis,A15,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1014,1679,Diphtheria,A36.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1015,1679,Diphtheria,A36.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1016,1679,Diphtheria,A36.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1017,1679,Diphtheria,A36.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1018,1679,Diphtheria,A36.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1019,1679,Diphtheria,A36.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1020,1267,Botulism,A05.1,E (Exact mapping: the two concepts are equivalent),,,,
1021,2897,Pityriasis rubra pilaris,L44.0,E (Exact mapping: the two concepts are equivalent),,,,
1022,2103,Guillain-Barré syndrome,G61.0,E (Exact mapping: the two concepts are equivalent),,,,
1023,183666,Hyper-IgM syndrome without susceptibility to opportunistic infections,D80.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1024,2070,Eosinophilic gastroenteritis,K52.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1025,183663,Hyper-IgM syndrome with susceptibility to opportunistic infections,D80.5,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1026,2312,Transient familial neonatal hyperbilirubinemia,P59.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1027,183707,Neutrophil immunodeficiency syndrome,D71,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1028,2314,Autosomal dominant hyper-IgE syndrome,D82.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1029,183678,Hermansky-Pudlak syndrome due to AP-3 deficiency,E70.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1030,449,Hepatoblastoma,C22.2,E (Exact mapping: the two concepts are equivalent),,,,
1031,183675,Recurrent infections associated with rare immunoglobulin isotypes deficiency,D80.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1032,2177,Hydranencephaly,Q04.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1033,533,Listeriosis,A32.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1034,533,Listeriosis,A32.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1035,533,Listeriosis,A32.7,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1036,533,Listeriosis,A32.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1037,533,Listeriosis,A32.8,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1038,183713,Bacterial susceptibility due to TLR signaling pathway deficiency,D84.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1039,2372,Laryngocele,Q31.3,E (Exact mapping: the two concepts are equivalent),,,,
1040,183710,Genetic susceptibility to infections due to particular pathogens,D84.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1041,2380,Legg-Calvé-Perthes disease,M91.1,E (Exact mapping: the two concepts are equivalent),,,,
1042,683,Progressive supranuclear palsy,G23.1,E (Exact mapping: the two concepts are equivalent),,,,
1043,677,Pancreatoblastoma,C25.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1044,183660,Severe combined immunodeficiency,D81.9,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1045,183660,Severe combined immunodeficiency,D81.0,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1046,183660,Severe combined immunodeficiency,D81.2,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1047,183660,Severe combined immunodeficiency,D81.3,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1048,183660,Severe combined immunodeficiency,D81.1,BTNT (ORPHA code's Broader Term maps to a Narrower Term),,,,
1049,897,Waardenburg-Shah syndrome,Q87.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1050,808,Seckel syndrome,Q87.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1051,844,Lown-Ganong-Levine syndrome,I45.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1052,3027,Caudal regression sequence,Q76.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1053,676,Hereditary chronic pancreatitis,K86.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1054,643,Giant axonal neuropathy,G60.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1055,634,Netherton syndrome,Q80.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1056,140,Campomelic dysplasia,Q87.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1057,2828,Young-onset Parkinson disease,G20,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1058,642,Hereditary sensory and autonomic neuropathy type 4,G60.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1059,627,Nance-Horan syndrome,Q87.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1060,638,Neurofibromatosis-Noonan syndrome,Q87.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1061,326,Congenital factor V deficiency,D68.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1062,526,Liddle syndrome,I15.1,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1063,650,LCAT deficiency,E78.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1064,427,Familial hypoaldosteronism,E27.4,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1065,215,Congenital stationary night blindness,H53.6,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1066,342,Familial Mediterranean fever,E85.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1067,180,Choroideremia,H31.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1068,754,Androgen insensitivity syndrome,E34.5,E (Exact mapping: the two concepts are equivalent),,,,
1069,253,Spondyloepiphyseal dysplasia and spondyloepimetaphyseal dysplasia,Q77.7,E (Exact mapping: the two concepts are equivalent),,,,
1070,327,Congenital factor VII deficiency,D68.2,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1071,373,Simpson-Golabi-Behmel syndrome,Q87.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1072,403,Familial hyperaldosteronism type I,E26.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1073,574,Monosomy 21,Q93.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1074,653,Multiple endocrine neoplasia type 2,D44.8,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1075,146,Differentiated thyroid carcinoma,C73,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1076,1331,Familial prostate cancer,C61,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1077,157,Carnitine palmitoyltransferase II deficiency,E71.3,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
1078,847,Alpha-thalassemia-X-linked intellectual disability syndrome,D56.0,NTBT (ORPHA code's Narrower Term maps to a Broader Term),,,,
